Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Italy,European Region of WHO,South West Europe,2011,20,5/16/2011,5/22/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,21,5/23/2011,5/29/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,22,5/30/2011,6/5/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,23,6/6/2011,6/12/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,24,6/13/2011,6/19/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,25,6/20/2011,6/26/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,26,6/27/2011,7/3/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,27,7/4/2011,7/10/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,28,7/11/2011,7/17/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,29,7/18/2011,7/24/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,30,7/25/2011,7/31/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,31,8/1/2011,8/7/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,32,8/8/2011,8/14/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,33,8/15/2011,8/21/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,34,8/22/2011,8/28/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,35,8/29/2011,9/4/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,36,9/5/2011,9/11/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,37,9/12/2011,9/18/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,38,9/19/2011,9/25/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,39,9/26/2011,10/2/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,40,10/3/2011,10/9/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,41,10/10/2011,10/16/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,42,10/17/2011,10/23/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,43,10/24/2011,10/30/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,44,10/31/2011,11/6/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,45,11/7/2011,11/13/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,46,11/14/2011,11/20/2011,41,41,0,0,1,0,0,1,0,0,0,0,1,,Sporadic
Italy,European Region of WHO,South West Europe,2011,47,11/21/2011,11/27/2011,61,61,0,0,5,0,0,5,0,0,0,0,5,,Sporadic
Italy,European Region of WHO,South West Europe,2011,48,11/28/2011,12/4/2011,56,56,0,1,3,0,0,4,0,0,0,0,4,,Sporadic
Italy,European Region of WHO,South West Europe,2011,49,12/5/2011,12/11/2011,61,61,0,0,4,0,0,4,0,0,0,0,4,,Sporadic
Italy,European Region of WHO,South West Europe,2011,50,12/12/2011,12/18/2011,112,112,0,0,6,0,4,10,0,0,0,0,10,,Sporadic
Italy,European Region of WHO,South West Europe,2011,51,12/19/2011,12/25/2011,178,178,0,0,15,0,0,15,0,0,0,0,15,,Sporadic
Italy,European Region of WHO,South West Europe,2011,52,12/26/2011,1/1/2012,155,155,0,0,33,0,0,33,0,0,0,0,33,,Sporadic
Italy,European Region of WHO,South West Europe,2012,1,1/2/2012,1/8/2012,179,179,0,1,29,0,1,31,0,0,0,0,31,,Sporadic
Italy,European Region of WHO,South West Europe,2012,2,1/9/2012,1/15/2012,172,172,0,0,38,0,0,38,0,0,0,0,38,,Sporadic
Italy,European Region of WHO,South West Europe,2012,3,1/16/2012,1/22/2012,285,285,0,0,86,0,4,90,0,0,1,1,91,,Sporadic
Italy,European Region of WHO,South West Europe,2012,4,1/23/2012,1/29/2012,375,375,0,1,179,0,3,183,0,0,0,0,183,,Sporadic
Italy,European Region of WHO,South West Europe,2012,5,1/30/2012,2/5/2012,330,330,0,0,189,0,10,199,0,0,0,0,199,,Local Outbreak
Italy,European Region of WHO,South West Europe,2012,6,2/6/2012,2/12/2012,429,429,0,0,180,0,20,200,0,0,1,1,201,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2012,7,2/13/2012,2/19/2012,325,325,0,0,117,0,24,141,0,0,0,0,141,,Local Outbreak
Italy,European Region of WHO,South West Europe,2012,8,2/20/2012,2/26/2012,233,233,0,0,110,0,12,122,0,0,3,3,125,,Local Outbreak
Italy,European Region of WHO,South West Europe,2012,9,2/27/2012,3/4/2012,286,286,0,0,73,0,9,82,0,0,9,9,91,,No Report
Italy,European Region of WHO,South West Europe,2012,10,3/5/2012,3/11/2012,228,228,0,0,41,0,13,54,0,0,9,9,63,,Sporadic
Italy,European Region of WHO,South West Europe,2012,11,3/12/2012,3/18/2012,130,130,0,0,13,0,6,19,0,0,6,6,25,,Sporadic
Italy,European Region of WHO,South West Europe,2012,12,3/19/2012,3/25/2012,130,130,0,0,2,0,5,7,0,0,4,4,11,,Sporadic
Italy,European Region of WHO,South West Europe,2012,13,3/26/2012,4/1/2012,102,102,0,0,1,0,3,4,0,0,3,3,7,,Sporadic
Italy,European Region of WHO,South West Europe,2012,14,4/2/2012,4/8/2012,47,47,0,0,2,0,0,2,0,0,3,3,5,,Sporadic
Italy,European Region of WHO,South West Europe,2012,15,4/9/2012,4/15/2012,38,38,0,0,2,0,1,3,0,0,3,3,6,,Sporadic
Italy,European Region of WHO,South West Europe,2012,16,4/16/2012,4/22/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,17,4/23/2012,4/29/2012,29,29,0,0,0,0,1,1,0,0,0,0,1,,No Report
Italy,European Region of WHO,South West Europe,2012,18,4/30/2012,5/6/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,19,5/7/2012,5/13/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,20,5/14/2012,5/20/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,21,5/21/2012,5/27/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,22,5/28/2012,6/3/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,23,6/4/2012,6/10/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,24,6/11/2012,6/17/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,25,6/18/2012,6/24/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,26,6/25/2012,7/1/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,27,7/2/2012,7/8/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,28,7/9/2012,7/15/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,29,7/16/2012,7/22/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,30,7/23/2012,7/29/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,31,7/30/2012,8/5/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,32,8/6/2012,8/12/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,33,8/13/2012,8/19/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,34,8/20/2012,8/26/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,35,8/27/2012,9/2/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,36,9/3/2012,9/9/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,37,9/10/2012,9/16/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,38,9/17/2012,9/23/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,39,9/24/2012,9/30/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,40,10/1/2012,10/7/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,41,10/8/2012,10/14/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,42,10/15/2012,10/21/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,43,10/22/2012,10/28/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,44,10/29/2012,11/4/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,45,11/5/2012,11/11/2012,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2012,46,11/12/2012,11/18/2012,36,52,0,1,1,0,0,2,0,0,0,0,2,,Sporadic
Italy,European Region of WHO,South West Europe,2012,47,11/19/2012,11/25/2012,54,54,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Italy,European Region of WHO,South West Europe,2012,48,11/26/2012,12/2/2012,63,76,0,0,2,0,0,2,0,0,4,4,6,,Sporadic
Italy,European Region of WHO,South West Europe,2012,49,12/3/2012,12/9/2012,65,65,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Italy,European Region of WHO,South West Europe,2012,50,12/10/2012,12/16/2012,69,69,0,1,1,0,0,2,0,0,4,4,6,,Sporadic
Italy,European Region of WHO,South West Europe,2012,51,12/17/2012,12/23/2012,68,68,0,0,0,0,0,0,0,0,5,5,5,,Sporadic
Italy,European Region of WHO,South West Europe,2012,52,12/24/2012,12/30/2012,34,16,0,0,0,0,1,1,0,0,3,3,4,,Sporadic
Italy,European Region of WHO,South West Europe,2013,1,12/31/2012,1/6/2013,57,57,0,4,0,0,1,5,0,0,11,11,16,,Sporadic
Italy,European Region of WHO,South West Europe,2013,2,1/7/2013,1/13/2013,192,192,0,14,2,0,1,17,0,0,23,23,40,,Sporadic
Italy,European Region of WHO,South West Europe,2013,3,1/14/2013,1/20/2013,267,267,0,18,2,0,6,26,0,0,41,41,67,,Sporadic
Italy,European Region of WHO,South West Europe,2013,4,1/21/2013,1/27/2013,289,289,0,20,4,0,4,28,0,0,66,66,94,,Local Outbreak
Italy,European Region of WHO,South West Europe,2013,5,1/28/2013,2/3/2013,,374,0,38,9,0,13,60,0,0,121,121,181,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2013,6,2/4/2013,2/10/2013,379,379,0,45,7,0,16,68,0,0,114,114,182,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2013,7,2/11/2013,2/17/2013,467,467,0,70,4,0,16,90,0,0,140,140,230,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2013,8,2/18/2013,2/24/2013,380,380,0,49,6,0,11,66,0,0,140,140,206,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2013,9,2/25/2013,3/3/2013,351,351,0,66,5,0,13,84,0,0,101,101,185,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2013,10,3/4/2013,3/10/2013,304,304,0,64,16,0,6,86,0,0,66,66,152,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2013,11,3/11/2013,3/17/2013,273,273,0,36,7,0,9,52,0,0,45,45,97,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2013,12,3/18/2013,3/24/2013,257,257,0,28,4,0,2,34,0,0,33,33,67,,Local Outbreak
Italy,European Region of WHO,South West Europe,2013,13,3/25/2013,3/31/2013,104,104,0,6,0,0,3,9,0,0,13,13,22,,Sporadic
Italy,European Region of WHO,South West Europe,2013,14,4/1/2013,4/7/2013,94,94,0,5,2,0,1,8,0,0,7,7,15,,Sporadic
Italy,European Region of WHO,South West Europe,2013,15,4/8/2013,4/14/2013,90,90,0,2,1,0,1,4,0,0,0,0,4,,Sporadic
Italy,European Region of WHO,South West Europe,2013,16,4/15/2013,4/21/2013,53,53,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Italy,European Region of WHO,South West Europe,2013,17,4/22/2013,4/28/2013,70,70,0,0,0,0,1,1,0,0,0,0,1,,No Report
Italy,European Region of WHO,South West Europe,2013,18,4/29/2013,5/5/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,19,5/6/2013,5/12/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,20,5/13/2013,5/19/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,21,5/20/2013,5/26/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,22,5/27/2013,6/2/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,23,6/3/2013,6/9/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,24,6/10/2013,6/16/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,25,6/17/2013,6/23/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,26,6/24/2013,6/30/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,27,7/1/2013,7/7/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,28,7/8/2013,7/14/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,29,7/15/2013,7/21/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,30,7/22/2013,7/28/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,31,7/29/2013,8/4/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,32,8/5/2013,8/11/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,33,8/12/2013,8/18/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,34,8/19/2013,8/25/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,35,8/26/2013,9/1/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,36,9/2/2013,9/8/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,37,9/9/2013,9/15/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,38,9/16/2013,9/22/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,39,9/23/2013,9/29/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,40,9/30/2013,10/6/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,41,10/7/2013,10/13/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,42,10/14/2013,10/20/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,43,10/21/2013,10/27/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,44,10/28/2013,11/3/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,45,11/4/2013,11/10/2013,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2013,46,11/11/2013,11/17/2013,131,131,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2013,47,11/18/2013,11/24/2013,64,64,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2013,48,11/25/2013,12/1/2013,24,24,0,0,2,0,0,2,0,0,0,0,2,,Sporadic
Italy,European Region of WHO,South West Europe,2013,49,12/2/2013,12/8/2013,65,62,0,0,6,0,0,6,0,0,0,0,6,,Sporadic
Italy,European Region of WHO,South West Europe,2013,50,12/9/2013,12/15/2013,65,65,0,0,5,0,2,7,0,0,0,0,7,,Sporadic
Italy,European Region of WHO,South West Europe,2013,51,12/16/2013,12/22/2013,87,87,0,0,3,0,0,3,0,0,0,0,3,,Sporadic
Italy,European Region of WHO,South West Europe,2013,52,12/23/2013,12/29/2013,73,73,0,0,10,0,0,10,0,0,1,1,11,,Sporadic
Italy,European Region of WHO,South West Europe,2014,1,12/30/2013,1/5/2014,119,80,0,1,6,0,3,10,0,0,0,0,10,,Sporadic
Italy,European Region of WHO,South West Europe,2014,2,1/6/2014,1/12/2014,216,169,0,9,13,0,4,26,0,0,1,1,27,,Sporadic
Italy,European Region of WHO,South West Europe,2014,3,1/13/2014,1/19/2014,235,167,0,8,15,0,5,28,2,0,1,3,31,,Sporadic
Italy,European Region of WHO,South West Europe,2014,4,1/20/2014,1/26/2014,264,211,0,21,23,0,2,46,0,0,3,3,49,,Sporadic
Italy,European Region of WHO,South West Europe,2014,5,1/27/2014,2/2/2014,314,227,0,21,46,0,7,74,0,0,0,0,74,,Local Outbreak
Italy,European Region of WHO,South West Europe,2014,6,2/3/2014,2/9/2014,336,296,0,25,49,0,30,104,0,0,4,4,108,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2014,7,2/10/2014,2/16/2014,241,241,0,22,27,0,25,74,0,0,4,4,78,,Local Outbreak
Italy,European Region of WHO,South West Europe,2014,8,2/17/2014,2/23/2014,310,310,0,26,45,0,18,89,0,0,3,3,92,,Local Outbreak
Italy,European Region of WHO,South West Europe,2014,9,2/24/2014,3/2/2014,200,200,0,29,35,0,22,86,0,0,3,3,89,,Local Outbreak
Italy,European Region of WHO,South West Europe,2014,10,3/3/2014,3/9/2014,246,246,0,15,35,0,8,58,0,0,6,6,64,,Local Outbreak
Italy,European Region of WHO,South West Europe,2014,11,3/10/2014,3/16/2014,235,179,0,18,19,0,3,40,0,0,0,0,40,,Sporadic
Italy,European Region of WHO,South West Europe,2014,12,3/17/2014,3/23/2014,175,132,0,5,10,0,3,18,0,0,0,0,18,,Sporadic
Italy,European Region of WHO,South West Europe,2014,13,3/24/2014,3/30/2014,130,130,0,6,8,0,2,16,0,0,0,0,16,,Sporadic
Italy,European Region of WHO,South West Europe,2014,14,3/31/2014,4/6/2014,81,81,0,2,3,0,1,6,0,0,0,0,6,,Sporadic
Italy,European Region of WHO,South West Europe,2014,15,4/7/2014,4/13/2014,77,77,0,1,1,0,0,2,0,0,0,0,2,,Sporadic
Italy,European Region of WHO,South West Europe,2014,16,4/14/2014,4/20/2014,55,52,0,1,1,0,2,4,0,0,0,0,4,,Sporadic
Italy,European Region of WHO,South West Europe,2014,17,4/21/2014,4/27/2014,48,48,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2014,18,4/28/2014,5/4/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,19,5/5/2014,5/11/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,20,5/12/2014,5/18/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,21,5/19/2014,5/25/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,22,5/26/2014,6/1/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,23,6/2/2014,6/8/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,24,6/9/2014,6/15/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,25,6/16/2014,6/22/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,26,6/23/2014,6/29/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,27,6/30/2014,7/6/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,28,7/7/2014,7/13/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,29,7/14/2014,7/20/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,30,7/21/2014,7/27/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,31,7/28/2014,8/3/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,32,8/4/2014,8/10/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,33,8/11/2014,8/17/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,34,8/18/2014,8/24/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,35,8/25/2014,8/31/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,36,9/1/2014,9/7/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,37,9/8/2014,9/14/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,38,9/15/2014,9/21/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,39,9/22/2014,9/28/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,40,9/29/2014,10/5/2014,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2014,41,10/6/2014,10/12/2014,1,1,0,1,0,0,0,1,0,0,0,0,1,,No Activity
Italy,European Region of WHO,South West Europe,2014,42,10/13/2014,10/19/2014,45,45,0,0,1,0,0,1,0,0,0,0,1,,No Activity
Italy,European Region of WHO,South West Europe,2014,43,10/20/2014,10/26/2014,32,31,0,1,0,0,0,1,0,0,0,0,1,,No Activity
Italy,European Region of WHO,South West Europe,2014,44,10/27/2014,11/2/2014,54,54,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2014,45,11/3/2014,11/9/2014,44,44,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2014,46,11/10/2014,11/16/2014,73,73,0,0,1,0,0,1,0,0,0,0,1,,No Activity
Italy,European Region of WHO,South West Europe,2014,47,11/17/2014,11/23/2014,76,76,0,3,1,0,0,4,0,0,0,0,4,,Sporadic
Italy,European Region of WHO,South West Europe,2014,48,11/24/2014,11/30/2014,76,76,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2014,49,12/1/2014,12/7/2014,120,120,0,4,2,0,0,6,0,0,0,0,6,,Sporadic
Italy,European Region of WHO,South West Europe,2014,50,12/8/2014,12/14/2014,137,137,0,9,5,0,1,15,2,0,0,2,17,,Sporadic
